source_measurement_id,pmcid,original_measurement_type,original_pH,original_value_std,verdict,rules,rule_names,note,evidence_quote
BM037C0E4939,PMC9772341,pH optimum,6.0,6.0,EXCLUDE,PH-X1,methods_or_protocol_sentence,"'For enzymes with peak activity at pH 6.0, an extended pH screening assay was performed using ...' -- a methods sentence describing which enzymes were screened.","For enzymes with peak activity at pH 6.0, an extended pH screening assay was performed using 2.9% loading by mass of amorphous PET film (Goodfellow) and 10 µg enzyme of interest (0.7 mg enzyme/g PET enzyme loading) in polypropylene tubes containing 100 mM NaCl and 50 mM citrate (pH 5.5 and pH 5.0) or 50 mM sodium acetate (pH 5.0 and pH 4.5)."
BM03DE403B9C,PMC10941194,pH optimum,3.5,3.5,EXCLUDE,PH-X2;PH-X7,range_endpoint_as_optimum;secondhand_or_review,"'a standard bell-shaped activity-pH profile with an optimum around 7.5.51 When starting from a lower pH (usually buffers of pH 3.5-5.0 ...)'. The recorded 3.5-5.0 is the STARTING BUFFER range; the stated optimum is 7.5. The trailing '51' is a stripped reference marker, so the claim is secondhand as well.","The enzyme has a standard bell-shaped activity–pH profile with an optimum around 7.5.51 When starting from a lower pH (usually buffers of pH 3.5–5.0 with low buffer capacity), the enzyme basifies the solution, thereby overcoming the buffer and increasing its own activity, up to pH 7.5."
BM0578A48B89,PMC10495362,pH optimum,6.0,6.0,EXCLUDE,PH-X7;PH-X3,secondhand_or_review;enzyme_attribution_mismatch,"'In their study, the PET46-like 211 released ...' -- a secondhand sentence about a different enzyme (PET46-like 211), carrying PET46's accession RLI42440.1.","In their study, the PET46-like 211 released up to 85.23 mg L−1 aromatic products from crystalline PET powder at 60 °C and pH6 (optimal conditions)."
BM06A72D7AB0,PMC10146679,pH stability,7.0,7.0,EXCLUDE,PH-X9,measurement_type_unsupported,pH 7.0 is the assay condition of a thermal statement; no pH-stability measurement.,"At pH 7.0, the activity of BbPETaseCD increased from 30 °C to 40 °C, and then decreased when the temperature increased to 50 °C, indicating the poor stability of BbPETaseCD at high temperature."
BM097BBDB7F2,PMC12734981,pH stability,8.0,8.0,EXCLUDE,PH-X12,no_outcome_at_stated_pH,'A rapid decline in activity was detected beyond pH 8.0' -- no outcome is measured AT pH 8.0; the only quantified point in the sentence is pH 9.0 (BM51F74D231E).,"A rapid decline in activity was detected beyond pH 8.0, with less than 15% residual activity at pH 9.0."
BM097BED1F73,PMC8767016,pH optimum,7.0,7.0,KEEP,PH-C2;PH-C5;PH-C6;PH-C7,type_reclassified;enzyme_named;range_bounds_set;direction_set,"'PET27 was most active between pH 7-8 and PET30 between pH 6-8'. The recorded 7.0-8.0 is PET27's interval exactly, so the row is attributed to PET27 and reclassified from a point optimum to an activity range.","Concerning the optimal pH, PET27 was most active between pH 7–8 and PET30 between pH 6-8 when tested in 0.1 M potassium phosphate (Figure 3C)."
BM0A3FCD8E37,PMC11651597,thermostability,6.0,35.0,EXCLUDE,PH-X9,measurement_type_unsupported,35 deg C is the incubation temperature of the pH-stability assay in this sentence; recorded as a thermostability measurement of 35 deg C. No thermostability value is stated.,"Fig 5A illustrates that it remained stable between pH 6 and pH 9, retaining between 89% and 97% of its residual activity after 1 h of incubation at 35°C."
BM0CC453F3E1,PMC4624153,pH stability,4.0,4.0,KEEP,PH-C3;PH-C5;PH-C7,outcome_recovered;enzyme_named;direction_set,"'stable at pH 4.0, 5.0 and 6.0 and 55 deg C for 1 h with a residual activity of almost 70-80%'. pH 4.0 is one of the three stated points.","The enzyme was stable at pH 4.0, 5.0 and 6.0 and 55 °C for 1 h with a residual activity of almost 70–80 %.Fig."
BM0D67FCB6F6,PMC11651597,pH stability,9.0,9.0,KEEP,PH-C2;PH-C3;PH-C5;PH-C6;PH-C7,type_reclassified;outcome_recovered;enzyme_named;range_bounds_set;direction_set,"Range statement 'stable between pH 6 and pH 9, retaining 89-97%'. Typed as a pH-stability range; pH 9.0 is the upper endpoint of range group R-11651597-a.","Fig 5A illustrates that it remained stable between pH 6 and pH 9, retaining between 89% and 97% of its residual activity after 1 h of incubation at 35°C."
BM0DB57418F4,PMC7936011,temperature optimum,7.0,25.0,EXCLUDE,PH-X1,methods_or_protocol_sentence,'assayed by incubating ... at different temperatures in a range of 25-65 deg C' is the range tested. Recorded as temperature optimum = 25 deg C.,The optimum temperature for esterase activity of Tan410 was assayed by incubating the enzyme in 50 mM phosphate buffer (pH 7.0) at different temperatures in a range of 25–65 °C.
BM0DD7EB00EA,PMC11782994,temperature optimum,8.0,60.0,KEEP,,,Covariate row: temperature optimum 60 deg C at pH 8.,"The most suitable environment proved to be KPO, for which the highest activity of 152.5 U/mg was found on 100 mM KPO pH 8 and 60°C (Supplementary Figure S3, ESI)."
BM0E71BF8DE3,PMC9709933,pH stability,6.0,6.0,KEEP,PH-C3;PH-C7,outcome_recovered;direction_set,97% residual after 3 h at pH 6.0.,About 97% residual activity of esterase enzyme was obtained at pH 6.0 after the incubation of 3 h and 82% activity was obtained after 3 h of incubation at pH 8.0 while 78% residual activity was observed after 1 h at pH 9.0 as shown in Fig.
BM10FE78B273,PMC10607177,temperature optimum,7.0,50.0,KEEP,PH-C4,buffer_cleared,Covariate row: two of three isolates share optimum 50 deg C / pH 7. Buffer MES cleared -- not named in the evidence and outside its range at pH 7.,"Furthermore, depolymerase enzymes produced by two of our A. fumigatus isolates exhibited optimal activity at pH 7 and a temperature of 50 °C, while the depolymerase of the third Aspergillus strain demonstrated peak efficiency at pH 5 and a temperature of 40 °C."
BM168196487C,PMC4624153,pH optimum,4.0,4.0,KEEP,PH-C1;PH-C5;PH-C6;PH-C7,optimum_corrected;enzyme_named;range_bounds_set;direction_set,"Recorded optimum 4.0 was the low end of the range. Same sentence: 'the highest being at pH 5.0'. Optimum corrected 4.0 -> 5.0, active range 4.0-6.0 kept as bounds.","The optimum enzyme activity for P. expansum PHB depolymerase was detected between pH 4.0 and 6.0, the highest being at pH 5.0 (Fig."
BM1F7BD124DF,PMC13316681,thermostability,5.0,60.0,EXCLUDE,PH-X11;PH-X7;PH-X3,garbled_table_extraction;secondhand_or_review;enzyme_attribution_mismatch,Evidence is a concatenated review comparison-table cell ('...IsPETase and LCC; higher activity on BHET ...70 deg C/broad pH 5-8; thermostable at 60 deg C...') with no field boundaries. enzyme_name 'IsPETase' carries PET46's accession RLI42440.1.,"BHET, MHET oligomers; feruloyl estersComparable PET powder hydrolysis to wild-type bacterial IsPETase and LCC; higher activity on BHET and MHET than on polymer70 °C/broad pH 5–8; thermostable at 60 °C for prolonged incubationUnique flexible lid domain (three α-helices, two anti-parallel β-strands) enhances substrate binding;"
