source_measurement_id,pmcid,paper_title,year,measurement_type,pH,value_std,value_unit_std,enzyme_name,uniprot_accession,exclusion_rules,exclusion_rule_names,reason,evidence_quote
BM037C0E4939,PMC9772341,Sourcing thermotolerant poly(ethylene terephthalate) hydrolase scaffolds from natural diversity.,2022,pH optimum,6.0,6.0,pH,,,PH-X1,methods_or_protocol_sentence,"'For enzymes with peak activity at pH 6.0, an extended pH screening assay was performed using ...' -- a methods sentence describing which enzymes were screened.","For enzymes with peak activity at pH 6.0, an extended pH screening assay was performed using 2.9% loading by mass of amorphous PET film (Goodfellow) and 10 µg enzyme of interest (0.7 mg enzyme/g PET enzyme loading) in polypropylene tubes containing 100 mM NaCl and 50 mM citrate (pH 5.5 and pH 5.0) or 50 mM sodium acetate (pH 5.0 and pH 4.5)."
BM03DE403B9C,PMC10941194,Exploring Emergent Properties in Enzymatic Reaction Networks: Design and Control of Dynamic Functional Systems.,2024,pH optimum,3.5,3.5,pH,,,PH-X2;PH-X7,range_endpoint_as_optimum;secondhand_or_review,"'a standard bell-shaped activity-pH profile with an optimum around 7.5.51 When starting from a lower pH (usually buffers of pH 3.5-5.0 ...)'. The recorded 3.5-5.0 is the STARTING BUFFER range; the stated optimum is 7.5. The trailing '51' is a stripped reference marker, so the claim is secondhand as well.","The enzyme has a standard bell-shaped activity–pH profile with an optimum around 7.5.51 When starting from a lower pH (usually buffers of pH 3.5–5.0 with low buffer capacity), the enzyme basifies the solution, thereby overcoming the buffer and increasing its own activity, up to pH 7.5."
BM0578A48B89,PMC10495362,An archaeal lid-containing feruloyl esterase degrades polyethylene terephthalate.,2023,pH optimum,6.0,6.0,pH,PET46,RLI42440.1,PH-X7;PH-X3,secondhand_or_review;enzyme_attribution_mismatch,"'In their study, the PET46-like 211 released ...' -- a secondhand sentence about a different enzyme (PET46-like 211), carrying PET46's accession RLI42440.1.","In their study, the PET46-like 211 released up to 85.23 mg L−1 aromatic products from crystalline PET powder at 60 °C and pH6 (optimal conditions)."
BM06A72D7AB0,PMC10146679,Rational Design of Disulfide Bridges in <i>Bb</i>PETase<sup>CD</sup> for Enhancing the Enzymatic Performance in PET Degradation.,2023,pH stability,7.0,7.0,pH,PETase,,PH-X9,measurement_type_unsupported,pH 7.0 is the assay condition of a thermal statement; no pH-stability measurement.,"At pH 7.0, the activity of BbPETaseCD increased from 30 °C to 40 °C, and then decreased when the temperature increased to 50 °C, indicating the poor stability of BbPETaseCD at high temperature."
BM097BBDB7F2,PMC12734981,"A CALB-like Cold-Active Lipolytic Enzyme from &lt;i&gt;Pseudonocardia antarctica&lt;/i&gt;: Expression, Biochemical Characterization, and AlphaFold-Guided Dynamics.",2025,pH stability,8.0,8.0,pH,CALB,,PH-X12,no_outcome_at_stated_pH,'A rapid decline in activity was detected beyond pH 8.0' -- no outcome is measured AT pH 8.0; the only quantified point in the sentence is pH 9.0 (BM51F74D231E).,"A rapid decline in activity was detected beyond pH 8.0, with less than 15% residual activity at pH 9.0."
BM0A3FCD8E37,PMC11651597,Characterization of a novel subfamily 1.4 lipase from Bacillus licheniformis IBRL-CHS2: Cloning and expression optimization.,2024,thermostability,6.0,35.0,degrees Celsius,,AOT80658.1,PH-X9,measurement_type_unsupported,35 deg C is the incubation temperature of the pH-stability assay in this sentence; recorded as a thermostability measurement of 35 deg C. No thermostability value is stated.,"Fig 5A illustrates that it remained stable between pH 6 and pH 9, retaining between 89% and 97% of its residual activity after 1 h of incubation at 35°C."
BM0DB57418F4,PMC7936011,A novel esterase from a soil metagenomic library displaying a broad substrate range.,2021,temperature optimum,7.0,25.0,degrees Celsius,,,PH-X1,methods_or_protocol_sentence,'assayed by incubating ... at different temperatures in a range of 25-65 deg C' is the range tested. Recorded as temperature optimum = 25 deg C.,The optimum temperature for esterase activity of Tan410 was assayed by incubating the enzyme in 50 mM phosphate buffer (pH 7.0) at different temperatures in a range of 25–65 °C.
BM1F7BD124DF,PMC13316681,Archaea-driven bioremediation of polyolefins and polyesters in extreme environments.,2026,thermostability,5.0,60.0,degrees Celsius,IsPETase,RLI42440.1,PH-X11;PH-X7;PH-X3,garbled_table_extraction;secondhand_or_review;enzyme_attribution_mismatch,Evidence is a concatenated review comparison-table cell ('...IsPETase and LCC; higher activity on BHET ...70 deg C/broad pH 5-8; thermostable at 60 deg C...') with no field boundaries. enzyme_name 'IsPETase' carries PET46's accession RLI42440.1.,"BHET, MHET oligomers; feruloyl estersComparable PET powder hydrolysis to wild-type bacterial IsPETase and LCC; higher activity on BHET and MHET than on polymer70 °C/broad pH 5–8; thermostable at 60 °C for prolonged incubationUnique flexible lid domain (three α-helices, two anti-parallel β-strands) enhances substrate binding;"
BM2646680E59,PMC9772341,Sourcing thermotolerant poly(ethylene terephthalate) hydrolase scaffolds from natural diversity.,2022,pH optimum,6.0,6.0,pH,,,PH-X4,ambiguous_multi_enzyme,"'the four enzymes that exhibited optimal or near optimal activity at pH 6.0 (102, 611, 702, 715)' -- four distinct enzymes collapsed into one unattributed row.","For the four enzymes that exhibited optimal or near optimal activity at pH 6.0 (102, 611, 702, 715), we further extended the pH screen."
BM310A734B15,PMC7936011,A novel esterase from a soil metagenomic library displaying a broad substrate range.,2021,pH optimum,7.0,7.0,pH,,,PH-X1;PH-X10,methods_or_protocol_sentence;duplicate_measurement,"Same methods sentence; pH 7.0 is the assay buffer, recorded as a pH optimum. The real optimum for Tan410 is captured by BM5BBF965026.",The optimum temperature for esterase activity of Tan410 was assayed by incubating the enzyme in 50 mM phosphate buffer (pH 7.0) at different temperatures in a range of 25–65 °C.
